1,7,9,27876, - Mx 1553#16,1,,0,0,1,2,5,5,3,5,7,7,8,8,9,11,13,14,15,18,25,27,29,33,36,34,38,39,39,42,43,63,60,60,60,,15,15,20,20,20,20,25,25,25,25,25,25,25,30,35,40,40,40,40,45,45,45,45,45,45,45,45,,,,,,A/F,,,,,,,,,,,
1,7,10,27884, - Mx 1553#81,1,,0,0,0,1,1,2,2,2,2,1,1,1,1,3,3,5,6,6,6,9,9,8,9,10,11,12,12,12,11,12,12,12,12,,15,15,10,10,15,15,20,20,20,20,25,20,20,25,30,30,25,20,20,20,20,20,20,20,15,15,15,,,,,A,,,F,,,,,,,,,
1,7,11,27892, - Mx 1553#26,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,h,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
1,7,12,27900, - Mx 1553#44,1,,4,5,5,5,6,4,5,6,7,8,8,9,10,12,11,16,19,23,24,27,28,30,33,35,37,40,42,43,59,61,65,62,66,,,15,15,15,15,20,20,20,20,20,20,20,20,25,25,25,25,25,25,25,25,30,30,30,25,25,25,,,,,,,,,,,,,,,,,
1,8,12,27901, - Mx 1553#91,1,,0,0,1,2,2,1,1,2,3,3,3,4,4,4,5,7,8,9,10,11,12,13,13,16,19,21,24,25,37,44,43,45,45,,,10,10,15,15,15,20,20,25,25,25,25,25,30,30,35,40,40,40,40,45,50,50,50,50,50,50,,,,,,,,,,,,,A,,,,
1,8,11,27893, - Mx 1553#99,1,,1,2,10,7,3,3,5,7,7,9,10,10,11,13,16,19,22,24,25,28,29,29,30,32,32,31,32,35,51,65,63,62,67,,15,20,20,20,20,20,25,30,30,30,30,35,40,45,50,50,55,55,60,65,65,70,70,70,70,70,65,,,,,,,,,,,,A,F,,,,
1,8,10,27885, - Mx 1553#72,1,,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,6,6,7,7,7,8,9,10,11,14,16,17,19,33,34,34,34,34,,10,10,15,15,15,15,20,20,20,25,25,25,25,30,30,30,30,30,35,35,40,40,40,40,40,40,40,,,,,,,,,,A,,F,,,,,
1,8,9,27877, - Mx 1553#18,1,,0,6,6,8,3,6,8,13,14,15,15,17,21,28,28,29,41,42,51,59,62,70,76,81,87,85,95,111,138,159,154,149,149,,15,15,20,20,25,25,30,30,35,35,35,40,40,40,45,50,50,50,50,50,50,55,55,50,50,55,55,,,,,,A,F,,,,,,,,,,
1,8,8,27868, - Mx 1553#93,1,,0,3,6,9,8,7,7,10,11,12,12,13,17,17,17,23,33,45,47,65,61,64,64,67,68,68,71,73,88,102,102,101,101,,25,25,30,30,30,30,35,35,45,40,45,50,50,50,55,55,60,60,60,60,60,60,60,60,60,60,60,,,,,A,,F,,,,,,,,,,
1,8,7,27859, - Mx 1553#41,1,,0,0,3,3,2,0,0,3,3,4,4,4,4,4,4,5,7,7,10,12,13,15,19,21,24,27,30,32,43,61,69,69,69,,,5,10,10,15,15,25,25,25,25,10,15,15,15,20,20,25,25,30,30,30,35,35,35,35,35,35,,,,,,,,,,,,,A,,,,
1,8,6,27850, - Mx 1553#53,1,,1,5,8,7,7,11,13,15,17,17,19,22,20,24,25,28,30,29,25,38,43,53,61,65,69,72,75,80,82,98,110,104,105,,20,20,20,25,25,30,35,35,35,35,40,50,50,55,60,60,60,60,55,50,50,50,50,50,50,50,45,,,,,A,,F,,,,,,,,,,
1,8,5,27842, - Mx 1553#70,1,,2,2,4,4,4,3,1,1,1,2,4,5,6,7,7,8,8,8,12,12,13,15,19,18,21,25,27,31,35,45,46,49,50,,25,30,30,10,10,10,20,15,20,20,20,25,25,30,35,40,45,45,45,50,50,50,50,50,50,50,45,,,,,F,A,,,,F,,,,,,,
1,8,4,27833, - Mx 1553#34,1,,0,1,1,1,3,5,5,5,5,5,7,9,9,11,14,18,25,25,26,34,38,38,46,48,51,53,57,66,99,110,106,110,109,,10,15,15,15,15,20,25,25,25,30,30,30,35,40,40,45,40,40,45,45,45,45,50,50,50,50,50,,,,,,,,,,,,A,F,,,,
1,8,3,27825, - Mx 1553#19,1,,7,7,10,12,14,19,20,18,20,22,23,24,26,31,32,38,52,50,55,64,67,74,75,76,77,79,79,85,88,95,116,117,112,,25,25,25,25,25,25,30,30,30,30,35,40,40,40,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,A,,F,,,,,,,,,
1,8,2,27817, - Mx 1553#108,1,,0,0,1,2,5,5,6,9,10,12,12,14,16,16,18,27,30,32,36,44,54,57,61,63,70,77,84,90,112,123,122,123,123,,15,15,15,20,20,20,35,30,30,30,30,40,40,45,45,45,45,45,50,50,50,50,50,45,45,45,45,,,,,A,,,,F,,,,,,,,
1,8,1,27808, - Mx 1553#27,1,,1,0,1,3,4,8,8,9,9,9,10,11,11,11,13,14,16,19,22,28,29,30,31,32,35,33,35,36,48,43,42,42,41,,10,20,15,15,20,25,25,25,25,25,30,35,35,35,35,40,40,40,40,40,40,40,40,40,40,40,45,,,,,,,,,,,,,,,,,
1,9,1,27809, - Mx 1553#50,1,,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,1,1,1,3,3,3,3,3,3,3,3,4,5,6,6,5,5,7,,,0,dead,0,0,5,5,10,10,10,5,10,10,10,0,10,10,10,10,10,10,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
1,9,2,27818, - Mx 1553#11,1,,0,1,2,3,4,4,4,4,4,4,4,6,8,9,10,12,17,18,20,22,24,24,27,28,34,35,37,37,42,40,41,41,41,,25,30,35,35,40,40,45,45,45,45,50,50,50,55,55,55,55,55,60,55,55,60,60,55,55,55,55,,,,,A,,,F,,,,,,,,,
1,9,3,27826, - Mx 1553#100,1,,0,1,2,2,1,2,1,2,1,1,2,3,4,4,4,9,10,9,11,14,14,16,16,17,19,19,18,20,23,26,26,27,28,,10,10,10,15,20,25,30,35,30,30,30,35,35,35,55,45,40,40,40,40,40,40,40,40,40,40,40,,F,F,,,,,,,,,,,,,,
1,9,4,27834, - Mx 1553#35,1,,0,1,4,4,3,3,7,3,3,4,9,11,12,13,14,15,15,17,17,22,23,23,23,25,30,34,37,47,74,74,74,74,78,,20,25,30,25,25,25,30,30,30,30,35,35,40,40,40,45,45,40,45,45,50,50,50,50,50,50,50,,,,,,,,,,,,,,A,,,
1,9,5,27843, - Mx 1553#46,1,,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,5,5,5,5,7,8,8,8,10,11,11,11,13,13,15,15,15,,15,15,15,15,20,25,25,25,30,30,30,30,30,30,35,35,35,35,40,40,40,40,45,50,50,50,45,,,,,,,,,,,A,,F,,,,
1,9,6,27851, - Mx 1553#63,1,,0,0,1,1,2,3,3,7,7,7,7,7,8,10,13,16,20,23,25,25,29,34,36,38,46,47,52,57,67,79,94,86,85,,15,15,15,20,20,20,25,25,30,25,30,30,30,30,35,40,40,45,40,45,45,45,45,45,40,40,40,,,,,,,,A,,F,,,,,,,
1,9,7,27860, - Mx 1553#9,1,,0,0,0,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,9,12,13,16,15,19,18,19,18,19,17,17,17,18,,10,15,15,20,15,15,25,25,25,25,25,25,25,30,35,35,35,35,30,30,25,30,30,30,30,30,30,,,,,,,,,,,,F,,,,,
1,9,8,27869, - Mx 1553#49,1,,0,1,1,3,6,9,9,10,11,12,13,15,16,16,18,20,24,27,32,38,41,45,47,51,59,59,61,70,71,78,78,78,80,,20,25,30,30,25,25,30,35,30,35,35,40,40,40,50,50,50,55,60,65,65,65,70,70,70,70,70,,,,,,,,,,,,A,F,,,,
1,9,9,ABR 15 FS B1-R9 C9, - Goliath,1,,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,5,10,10,10,11,11,11,11,11,11,,,5,5,10,15,15,25,25,25,20,30,30,35,35,35,40,40,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,A,F,,,,,
1,9,10,27886, - Mx 1553#56,1,,0,0,0,2,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,4,6,8,8,9,9,12,14,13,13,14,,,5,5,5,10,15,20,20,25,25,30,35,35,35,35,40,40,40,45,50,50,50,50,50,50,50,45,,,,,,,,,,,A,,F,,,,
1,9,11,27894, - Mx 1553#87,1,,1,2,2,2,0,1,1,1,1,1,1,1,3,4,5,5,5,6,6,7,11,13,15,17,19,18,18,20,28,27,27,27,31,,,15,15,15,20,25,30,30,25,25,30,30,30,40,50,55,55,55,55,50,50,55,55,55,55,55,55,,,,,,,,,,,,A,,,,,
1,9,12,27902, - Mx 1553#96,1,,2,3,8,9,7,12,13,13,13,13,14,15,16,18,19,24,31,43,51,50,54,61,64,64,69,66,68,68,74,83,85,85,89,,10,15,15,20,20,20,35,30,35,35,35,40,40,45,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,A,F,,,,,,,,,,
2,1,1,27903, - Mx 1553#10,2,,0,0,4,4,5,5,5,5,5,5,5,5,6,5,7,14,16,16,18,18,19,20,21,24,26,36,37,41,51,55,57,56,56,,15,20,20,20,20,20,25,25,25,30,30,30,30,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,,,,A,,F,,,,,,,,,,
2,1,2,27912, - Mx 1553#59,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2,1,3,27921, - Mx 1553#60,2,,7,8,14,14,13,19,19,20,21,24,28,27,33,34,34,39,41,48,57,65,70,70,79,84,89,87,92,93,94,118,117,112,114,,15,15,20,25,25,25,30,30,30,30,30,35,40,40,40,40,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,A,,F,,,,,,,
2,1,4,27930, - Mx 1553#55,2,,0,0,4,3,4,5,6,6,6,6,6,6,7,8,9,13,17,20,26,25,28,29,30,32,34,37,41,41,48,54,58,56,56,,30,30,35,35,40,40,45,45,45,45,50,50,55,60,65,65,65,65,65,60,60,60,60,55,55,55,50,,,,,,A,,F,,,,,,,,,
2,1,5,27939, - Mx 1553#104,2,,0,2,3,0,0,0,1,2,2,2,2,2,5,5,5,6,9,8,10,13,15,16,18,18,20,20,22,22,34,33,38,38,38,,15,20,20,25,30,25,35,35,35,30,35,35,40,40,40,45,50,50,50,50,50,50,50,50,45,45,45,,,,,A,,,,,F,,,,,,,
2,1,6,27948, - Mx 1553#56,2,,0,0,0,0,0,0,0,3,3,3,4,5,6,6,6,6,6,6,6,7,7,7,7,8,10,10,11,13,13,14,14,15,15,,,10,10,10,15,15,20,20,25,25,20,20,25,25,25,25,25,30,30,30,30,35,35,35,35,35,35,,,,,,,,,,,A,,F,,,,
2,1,7,27956, - Mx 1553#70,2,,1,2,3,2,2,2,3,3,5,5,11,10,10,12,12,14,17,16,19,24,24,23,25,28,30,30,34,34,38,41,43,46,47,,5,10,15,15,20,15,25,30,25,25,25,30,30,35,35,35,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,A,,F,,,,,,,
2,1,8,ABR 15 FS B2-R1 C8, - Mx 1553#28,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2,1,9,27973, - Mx 1553#68,2,,1,1,2,5,3,4,5,4,6,7,7,10,15,15,15,15,15,18,18,20,21,23,23,22,22,23,24,23,29,30,30,29,29,,15,20,20,20,20,20,30,30,30,30,30,35,35,40,40,45,50,50,50,50,50,50,50,50,50,50,50,,,,,,,,A,,F,,,,,,,
2,1,10,27981, - Mx 1553#78,2,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,,,,5,5,5,5,10,5,5,5,5,5,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
2,1,11,27990, - Mx 1553#94,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2,1,12,27997, - Mx 1553#113,2,,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2,2,12,27998, - Mx 1553#86,2,,0,0,4,4,5,5,5,7,7,6,7,7,9,10,14,20,28,29,30,30,36,38,39,45,41,45,49,51,67,67,81,85,85,,20,20,20,25,25,25,30,30,30,30,30,30,30,40,40,40,40,45,45,50,50,50,50,55,55,55,55,,,,,,,A,,,F,,,,,,,
2,2,11,27991, - Mx 1553#115,2,,2,3,4,2,3,6,8,11,11,12,13,13,14,15,16,23,28,31,33,35,36,39,39,40,42,42,48,51,50,53,53,56,55,,10,15,15,20,20,20,25,25,25,25,30,30,30,40,40,40,40,45,40,40,40,40,40,40,40,40,40,,,,,A,F,,,,,,,,,,,
2,2,10,27982, - Mx 1553#97,2,,0,1,1,1,1,1,2,1,4,3,4,4,4,4,5,5,5,6,8,8,10,10,11,11,11,11,13,13,17,20,22,22,22,,,10,15,15,15,10,20,20,20,20,20,25,25,30,35,35,40,35,35,35,35,35,35,35,35,35,30,,,,,A,,,F,,,,,,,,,
2,2,9,27974, - Mx 1553#119,2,,0,0,0,0,1,2,2,2,2,2,2,2,3,3,3,3,5,5,8,9,10,11,11,14,19,20,23,24,31,35,35,32,32,,10,15,15,15,20,15,25,25,25,25,25,30,30,30,40,40,40,40,40,45,45,45,45,45,45,45,45,,,,,,,,A,,F,,,,,,,
2,2,8,27966, - Mx 1553#40,2,,0,1,1,1,1,1,2,4,7,7,9,9,10,10,12,15,17,18,21,22,23,27,29,29,32,32,36,40,51,55,55,56,56,,15,15,15,20,20,25,30,30,30,30,35,40,40,40,45,45,50,50,50,50,55,55,55,55,55,55,55,,,,,,,,,,,,,,,,,
2,2,7,27957, - Mx 1553#117,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2,2,6,27949, - Mx 1553#46,2,,2,2,5,4,5,5,5,6,6,6,5,7,9,12,12,12,14,14,14,17,18,22,22,23,23,23,27,31,36,41,44,42,42,,20,20,20,25,30,30,30,35,35,30,30,35,35,35,40,40,40,45,45,50,50,55,55,55,55,55,55,,,,,,,,,,,,,F,,,,
2,2,5,27940, - Mx 1553#96,2,,0,1,8,9,7,6,5,7,9,12,15,15,16,17,22,29,32,31,32,38,40,40,40,42,44,48,55,61,66,68,67,71,70,,15,20,20,20,20,20,25,25,30,30,30,30,30,35,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,A,,F,,,,,,,,,,,
2,2,4,27931, - Mx 1553#110,2,,1,2,3,5,4,3,3,3,3,3,5,7,12,13,13,20,21,23,24,23,26,30,33,33,37,40,43,48,54,66,74,79,80,,15,25,25,25,25,25,35,35,35,35,40,40,40,50,55,60,60,65,65,65,65,65,65,65,65,65,65,,,,,,,,A,,F,,,,,,,
2,2,3,27922, - Mx 1553#98,2,,1,1,5,4,6,5,4,8,8,9,10,11,13,13,13,15,15,18,18,21,25,31,33,37,45,42,44,54,60,62,69,71,72,,15,15,15,20,20,20,25,30,30,25,25,25,30,30,35,35,40,45,45,50,50,50,50,50,50,50,50,,,,,,,,,,,,,A,,,,
2,2,2,27913, - Mx 1553#89,2,,1,1,4,4,5,5,5,11,11,11,11,11,11,11,14,16,21,20,25,27,29,32,32,34,35,35,39,38,49,51,54,54,58,,10,15,15,20,20,20,25,25,25,25,25,30,30,35,35,40,40,40,40,45,45,45,45,45,45,45,45,,,,A,,F,,,,,,,,,,,
2,2,1,27904, - Mx 1553#91,2,,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,9,11,11,13,14,13,14,15,17,18,27,34,34,34,34,,15,15,20,20,20,25,25,25,30,30,30,30,30,40,40,40,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,A,F,,,,,
2,3,1,27905, - Mx 1553#27,2,,3,4,5,4,4,5,4,5,5,4,5,5,7,7,7,6,10,12,13,14,15,15,16,16,18,18,18,19,27,27,27,27,30,,15,15,15,15,15,10,20,20,25,20,20,25,25,30,35,40,40,40,40,40,40,45,45,45,45,40,45,,,,,,,,,,,,,,,,,
2,3,2,27914, - Mx 1553#4,2,,0,1,1,2,2,2,2,2,2,2,2,2,4,5,6,6,8,9,9,9,11,12,13,15,15,15,15,17,18,19,23,24,24,,15,15,20,15,20,25,30,25,30,30,30,30,30,35,40,40,45,50,50,45,45,45,50,50,50,50,45,,,,,,,,,,A,,F,,,,,
2,3,3,27923, - Mx 1553#25,2,,0,0,0,0,0,1,1,3,3,5,5,5,5,5,6,7,8,8,11,12,13,14,14,14,16,17,17,17,18,18,18,18,18,,15,15,15,15,15,15,20,15,15,20,20,25,25,30,35,40,45,50,50,50,50,55,55,55,50,50,50,,,,,,,,,A,,,F,,,,,
2,3,4,27932, - Mx 1553#118,2,,0,0,0,1,1,1,3,2,3,3,3,3,5,5,5,5,5,8,8,10,13,13,13,11,13,16,14,16,26,27,27,27,29,,15,15,15,20,20,20,25,25,25,20,25,25,25,25,25,25,25,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,
2,3,5,27941, - Mx 1553#90,2,,0,0,0,0,0,1,1,2,3,3,3,3,3,4,4,4,5,7,8,9,9,9,10,10,10,10,10,10,11,11,11,12,12,,10,15,15,15,15,15,20,15,20,20,20,20,20,20,20,20,20,25,25,25,25,25,25,25,25,25,25,,,,,,,,,,,,,A,,,,
2,3,6,27950, - Mx 1553#75,2,,0,0,0,0,0,0,1,1,1,1,2,2,4,4,4,4,4,4,5,5,6,11,12,15,16,16,20,23,25,27,33,35,36,,5,5,5,5,5,10,10,10,15,15,15,20,20,25,25,25,25,30,30,30,35,35,35,35,35,35,35,,,,,,,,,,,,,A,,F,,
2,3,7,27958, - Mx 1553#22,2,,0,0,5,5,7,7,8,11,10,11,13,13,15,16,19,24,27,33,37,38,41,43,49,47,50,51,52,53,74,77,84,81,82,,15,20,25,25,25,25,30,30,30,30,30,40,40,40,45,50,50,50,55,50,50,50,50,50,50,50,50,,,,,,A,,,F,,,,,,,,
2,3,8,27967, - Mx 1553#103,2,,0,1,4,1,0,0,0,1,2,2,2,4,4,6,7,7,7,8,8,10,13,15,16,17,19,20,27,27,36,43,42,42,45,,10,10,15,15,20,20,25,25,30,25,30,30,35,40,40,45,50,55,55,55,55,55,50,50,50,50,50,,,,,,,,,,A,,,F,,,,
2,3,9,27975, - Mx 1553#16,2,,0,0,1,2,1,2,2,4,6,6,5,5,6,7,7,11,14,15,17,19,27,27,30,31,34,34,35,41,48,56,60,60,63,,10,10,15,15,15,15,20,20,20,20,25,25,25,25,25,30,35,35,40,40,40,40,40,40,40,40,40,,,,,,A,,,,,F,,,,,,
2,3,10,27983, - Mx 1553#49,2,,0,2,3,5,1,2,2,3,6,6,7,7,10,10,10,12,13,14,16,16,17,20,21,23,24,24,25,36,36,39,43,42,45,,15,20,20,20,20,25,25,30,30,30,35,35,35,40,40,40,40,40,40,40,40,40,45,45,45,45,45,,,,,,,,,,,,,,,,,
2,3,11,27992, - Mx 1553#92,2,,0,0,0,0,1,3,3,3,3,3,5,5,5,5,5,5,8,9,10,11,14,14,14,17,19,20,20,26,31,32,32,35,36,,5,5,5,5,5,15,20,20,20,20,25,30,30,30,35,35,40,40,40,45,40,40,40,40,40,40,40,,,,,,,,,,A,,,F,,,,
2,3,12,ABR 15 FS B2-R3 C12, - Mx 1553#100,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2,4,12,28000, - Mx 1553#35,2,,3,5,7,6,6,5,5,5,7,7,9,9,13,12,19,22,25,26,30,30,32,33,34,36,40,40,45,51,70,80,84,84,85,,20,20,25,25,30,30,40,35,40,40,45,45,45,45,50,50,50,50,55,55,50,50,50,50,50,50,50,,,,,,,,,,,,,A,,,,
2,4,11,ABR 15 FS B2-R4 C11, - Goliath,2,,0,1,3,0,0,2,2,2,2,2,3,3,2,2,3,3,5,6,6,7,8,9,9,9,9,10,9,15,16,19,20,20,20,,30,20,20,25,25,35,45,45,50,50,65,60,60,65,65,60,60,60,60,60,60,60,60,60,60,60,55,,,,,A,F,,,,,,,,,,,
2,4,10,27984, - Mx 1553#102,2,,2,2,3,1,1,1,3,4,4,5,6,6,7,9,10,13,14,15,16,18,19,20,20,21,22,22,25,26,30,31,31,31,31,,15,15,25,20,25,30,30,30,35,30,40,35,40,40,45,45,50,50,50,50,50,50,50,50,50,50,50,,,,,,,,A,F,,,,,,,,
2,4,9,27976, - Mx 1553#72,2,,0,1,1,0,0,0,0,3,3,3,4,4,4,5,5,5,5,7,10,11,17,21,21,22,24,24,25,29,36,41,44,48,48,,10,15,15,15,20,20,25,25,25,25,30,30,30,40,40,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,A,F,,,,,
2,4,8,27968, - Mx 1553#79,2,,1,3,3,2,3,3,8,10,12,10,11,10,14,17,18,22,25,25,25,25,25,26,27,27,29,29,29,30,34,35,39,33,33,,10,10,15,15,20,20,25,30,30,30,40,40,45,45,45,45,45,45,45,50,45,45,45,45,45,45,45,,,,,,A,,F,,,,,,,,,
2,4,7,27959, - Mx 1553#6,2,,0,0,0,0,1,1,1,0,0,0,1,1,3,4,4,5,5,5,5,5,5,5,5,6,7,11,13,14,15,15,16,16,16,,,,0,5,5,5,10,10,10,15,15,15,15,15,20,20,20,20,25,30,30,30,30,30,30,30,30,,,,,,,,,,,,A,F,,,,
2,4,6,27951, - Mx 1553#50,2,,0,0,6,5,4,6,8,8,8,8,8,9,8,8,9,17,22,24,29,29,36,39,43,45,51,51,58,62,69,76,81,79,75,,15,20,25,25,20,25,30,30,30,30,30,30,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,,,
2,4,5,27942, - Mx 1553#44,2,,1,1,5,4,3,5,10,10,12,12,13,13,14,17,16,20,28,34,39,42,45,45,45,49,49,50,52,53,66,64,70,74,73,,10,15,15,15,15,20,20,20,25,20,20,25,25,25,25,25,25,25,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,A,,,
2,4,4,27933, - Mx 1553#39,2,,2,3,4,8,7,9,9,8,9,9,9,10,13,17,20,27,32,34,35,37,44,49,54,59,63,65,66,73,90,114,111,119,120,,25,25,30,30,30,30,40,40,45,40,50,50,55,55,55,60,65,65,65,65,65,70,75,75,75,75,75,,,,,,,,A,,,F,,,,,,
2,4,3,27924, - Mx 1553#93,2,,0,0,2,4,5,8,11,11,13,13,13,13,14,22,32,36,41,43,44,44,51,56,59,63,63,61,64,67,70,69,73,73,75,,15,20,20,20,25,25,35,35,45,35,40,45,50,50,55,55,55,55,55,60,60,60,60,55,55,55,55,,,,,A,,,F,,,,,,,,,
2,4,2,27915, - Mx 1553#84,2,,0,0,0,0,1,1,1,1,2,2,2,3,3,3,3,4,11,13,13,13,13,15,15,15,15,15,15,16,16,16,16,16,16,,15,20,20,20,20,20,30,30,30,30,35,35,35,35,35,35,40,40,40,45,45,45,40,40,40,40,40,,,,,,A,,,F,,,,,,,,
2,4,1,27906, - Mx 1553#77,2,,0,0,1,2,3,6,6,6,6,6,7,7,10,12,13,17,23,31,30,31,36,39,43,45,47,51,51,54,59,67,65,65,64,,20,25,30,30,30,30,35,35,40,40,45,45,55,55,60,65,65,70,70,70,70,70,70,70,70,70,70,,,,,A,F,,,,,,,,,,,
2,5,1,27907, - Mx 1553#47,2,,3,3,4,5,4,7,8,10,10,10,10,12,15,15,20,20,23,24,31,35,43,52,57,60,70,73,72,70,77,81,88,88,84,,15,20,25,20,25,25,35,35,40,40,45,50,50,50,60,60,65,60,65,65,60,60,60,60,60,60,60,,,,,A,F,,,,,,,,,,,
2,5,2,27916, - Mx 1553#43,2,,1,5,5,5,5,6,6,7,7,7,7,7,8,9,15,21,21,22,26,25,28,32,34,35,37,38,38,38,50,53,55,53,52,,20,30,30,30,35,40,45,45,50,50,60,60,60,65,65,70,70,70,70,70,70,70,70,70,70,70,70,,,,,,A,,,F,,,,,,,,
2,5,3,27925, - Mx 1553#88,2,,1,2,5,7,8,7,7,9,9,10,12,13,16,17,20,23,29,31,40,40,42,45,45,43,47,48,52,52,68,66,67,67,66,,25,25,25,25,25,25,30,30,30,30,30,35,35,40,45,45,45,50,50,50,50,50,50,50,50,50,50,,,,,,A,,,,,F,,,,,,
2,5,4,27934, - Mx 1553#108,2,,0,1,2,3,6,11,12,14,14,22,24,28,30,33,33,49,57,66,67,75,80,90,87,96,102,107,107,116,130,144,141,138,140,,20,20,25,25,25,30,40,40,40,35,35,35,40,40,45,45,50,50,50,50,50,50,50,50,50,50,50,,,,,,A,,F,,,,,,,,,
2,5,5,27943, - Mx 1553#109,2,,0,0,2,2,4,11,10,16,18,28,28,31,32,33,35,33,34,38,38,43,43,49,52,52,55,56,62,69,95,91,97,97,97,,15,15,15,15,20,20,20,25,25,25,35,35,35,35,40,40,45,50,50,55,55,60,60,55,55,55,55,,,,,,,,,,,,,A,,,,
2,5,6,27952, - Mx 1553#8,2,,0,0,0,4,2,6,7,8,8,9,13,17,20,22,25,27,31,33,35,38,38,41,42,43,51,57,57,64,75,101,102,103,101,,20,20,25,25,25,25,30,30,30,30,40,30,40,40,40,45,45,45,45,45,50,50,50,50,50,50,50,,,,,,,,,,,,,,,,A,
2,5,7,27960, - Mx 1553#51,2,,0,0,0,0,2,5,3,5,5,5,5,5,6,6,6,8,15,20,19,23,26,28,30,30,35,38,40,42,49,49,52,50,50,,10,10,5,10,15,15,20,15,15,15,15,20,20,20,25,25,25,25,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,A,,
2,5,8,27969, - Mx 1553#24,2,,1,1,2,2,2,3,3,3,3,5,5,6,7,9,10,14,17,18,18,21,25,29,32,35,37,39,40,42,43,44,45,44,44,,20,25,30,35,35,35,40,40,50,45,50,50,55,60,60,60,60,65,60,60,60,60,60,55,55,55,55,,,,,A,,,F,,,,,,,,,
2,5,9,27977, - Mx 1553#14,2,,0,0,0,1,2,4,4,7,8,8,8,8,8,8,9,11,14,16,18,25,28,34,35,37,39,44,44,50,66,77,88,86,88,,15,20,20,20,20,20,30,30,25,25,30,30,35,40,45,45,45,45,45,50,55,55,55,55,55,55,55,,,,,A,,,,,,F,,,,,,
2,5,10,ABR 15 FS B2-R5 C10, - Mx 1553#15,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
