,,,,,,SP,,,SLH,,SP,KR,STJ,STJ,,,,SP,
3,4,5,28043, - Mx 1553#90,3,9.1,9.5,8.2,35,50,16,14,1,,,,,40,
3,4,4,28034, - Mx 1553#25,3,6.9,6.9,6.8,0,45,19,17,4,,,,,27,
3,4,3,28026, - Mx 1553#1,3,8,6.8,7,0,25,19,20,7,,,,318,59,
3,4,2,28017, - Mx 1553#45,3,4.1,4.4,3.7,10,30,9.5,4,2,,,,,4,
3,4,1,28009, - Mx 1553#86,3,5.8,5.3,5.8,0,20,15,17,2,318,,,,66,64
3,5,1,28010, - Mx 1553#98,3,6,4.5,5,20,30,9,7,2,,,,,26,
3,5,2,28018, - Mx 1553#94,3,5.5,5.8,6.2,20,40,12,11,2,318,,,,57,42
3,5,3,28027, - Mx 1553#59,3,5.4,5,4.5,30,45,22,23,3,,,,,45,
3,5,4,28035, - Mx 1553#22,3,6.2,5.4,6.1,20,30,20,21,5,,,318,,73,105.5
3,5,5,28044, - Mx 1553#92,3,5.3,6.3,5.2,30,40,43,35,4,318,,,,81,66
3,5,6,ABR 15 FS B3-R5 C6, - Goliath,3,6.9,5.9,4.1,20,20,13,13,3,318,,,,88,79
3,5,7,28060, - Mx 1553#81,3,5.5,5.1,4.3,20,30,7.5,10,2,,,318,318,61,65
3,5,8,28069, - Mx 1553#16,3,5.4,6,5.6,10,15,18,15,3,318,,,,69,70
3,5,9,28078, - Mx 1553#77,3,7,4.7,5.6,0,20,19,18,8,,318,,,81,75
3,5,10,28087, - Mx 1553#109,3,6.5,5.9,5.2,0,10,15,14,8,,,,,68,
3,5,11,28096, - Mx 1553#44,3,6,5.3,5.5,20,45,16,12,3,,,,,48,
3,5,12,28105, - Mx 1553#50,3,6.3,6.7,6,30,45,28,22,3,,,,318,37,
3,6,12,ABR 15 FS B3-R6 C12, - Goliath,3,5.5,5.1,7.5,0,5,9,7,1,,,,,38,
3,6,11,28097, - Mx 1553#61,3,6.4,5.4,5.1,10,30,18,17,10,318,,,,73,75
3,6,10,28088, - Mx 1553#53,3,6.5,6.5,5.8,0,15,29,24,6,,,318,,101,91
3,6,9,28079, - Mx 1553#63,3,6,4.6,5.2,10,30,22,17,6,,318,,,81,73
3,6,8,28070, - Mx 1553#26,3,3,5.8,1.7,0,15,0,0,1,,,,,7,
3,6,7,28061, - Mx 1553#74,3,6.1,6.4,5,0,25,10,10,6,318,,,,59,49
3,6,6,28053, - Mx 1553#18,3,5.4,5.8,6.3,20,40,29,21,8,,318,,,82,77
3,6,5,28045, - Mx 1553#49,3,7.3,7.3,5.6,30,30,16,22,4,,,,,46,
3,6,4,28036, - Mx 1553#15,3,5.9,6,6.7,10,30,16,16,8,318,,,,81,81
3,6,3,28028, - Mx 1553#114,3,6.6,4.4,5.5,15,30,7,6,4,,,,,16,
3,6,2,28019, - Mx 1553#10,3,6.4,5.8,7.6,0,40,13,20,9,318,,,,81,74
3,6,1,28011, - Mx 1553#120,3,4.6,4.6,4.1,0,30,15,18,9,,,,,58,
3,7,1,28012, - Mx 1553#102,3,7.2,6,8.2,10,25,15,13,4,,,318,,82,86
3,7,2,28020, - Mx 1553#11,3,6.7,7.8,6.5,10,25,14,11,5,,318,,,97,86
3,7,3,28029, - Mx 1553#105,3,5.4,5.6,6.4,25,40,17,13,3,,318,,,108,105
3,7,4,28037, - Mx 1553#112,3,5.9,6.7,3.1,10,20,10,7,1,,,,,18,
3,7,5,28046, - Mx 1553#69,3,4.7,5.2,5.5,20,25,21,23,8,318,,,,75,73
3,7,6,28054, - Mx 1553#12,3,4.4,4.3,5.2,0,25,19,21,12,318,,,,111,116
3,7,7,28062, - Mx 1553#76,3,5.6,6.5,6.2,0,0,12,8,4,,318,,,97,92
3,7,8,28071, - Mx 1553#11,3,6,6.3,6.6,20,40,17,19,7,,318,,,99,91
3,7,9,28080, - Mx 1553#36,3,5.2,5.5,7.1,0,10,23,24,6,,,,,91,
3,7,10,28089, - Mx 1553#104,3,6.7,6.7,6.3,10,20,13,12,3,318,,,,77,74
3,7,11,28098, - Mx 1553#27,3,5.7,5.7,6.2,15,30,14,13,3,,,,,34,
3,7,12,28106, - Mx 1553#89,3,7.2,6.4,7.8,15,20,28,25,5,,,318,,102,110
3,8,12,28107, - Mx 1553#19,3,5.1,6.6,5.9,20,40,14,10,4,,,,,42,
3,8,11,28099, - Mx 1553#88,3,6.2,6.2,6.8,20,45,17,16,4,,,,,42,
3,8,10,28090, - Mx 1553#66,3,5.4,5.4,6.4,0,30,4,9,1,,,,,28.5,
3,8,9,28081, - Mx 1553#40,3,5,4.8,6.4,0,20,20,19,5,,,,,49,
3,8,8,28072, - Mx 1553#84,3,6,6,6,0,10,9.5,11,2,318,,,,81,77.5
3,8,7,28063, - Mx 1553#20,3,5,6.2,6.5,10,30,15,11,4,,,,,33,
3,8,6,28055, - Mx 1553#118,3,5.7,9.9,8,10,40,9,7,4,,,,,21,
3,8,5,28047, - Mx 1553#17,3,6.7,5.7,7.6,0,10,11,14,4,318,,,,71,76
3,8,4,28038, - Mx 1553#71,3,6.4,7.3,4.5,0,30,19,21,9,318,,,,71,67
3,8,3,28030, - Mx 1553#97,3,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
3,8,2,28021, - Mx 1553#4,3,7,5.2,6.9,10,20,17,16,6,318,,,,73,73
3,8,1,28013, - Mx 1553#72,3,6.5,5.7,6.8,20,20,24,24,9,318,,,,69,61
3,9,1,28014, - Mx 1553#6,3,5,5.9,7,0,30,24,23,4,,318,,,81,79
3,9,2,28022, - Mx 1553#100,3,4.8,5,4.9,20,30,11,10,2,,318,,,91,90
3,9,3,28031, - Mx 1553#99,3,6,4.3,6.5,0,10,16,17,3,,,,,55,
3,9,4,28039, - Mx 1553#60,3,5.8,4.4,4.5,0,25,13,11,11,318,,,,67,62
3,9,5,28048, - Mx 1553#95,3,6.2,5,6.6,0,30,21,20,7,,318,,,65,67
3,9,6,ABR 15 FS B3-R9 C6,giganteus,3,5.9,5.9,5.5,0,20,10,11,4,,,,,29,
3,9,7,28064, - Mx 1553#39,3,5.1,6.8,5.3,0,20,11,10,8,318,,,,69,53
3,9,8,28073, - Mx 1553#67,3,4.8,5.2,5.4,0,20,19,15,4,,,,,48,
3,9,9,28082, - Mx 1553#42,3,5.4,5.8,5,15,30,12,11,3,,318,,318,81,78
3,9,10,28091, - Mx 1553#35,3,6.8,7.3,6.1,15,40,13,20,5,,,,,40,
3,9,11,28100, - Mx 1553#8,3,6.6,6.4,6.3,0,25,28,27,7,,,,,58,
3,9,12,28108, - Mx 1553#82,3,6.1,6.1,5.3,0,20,24,25,8,318,,,,111,124.5
