,,,,,,,Stem,Stem,Stem,stemdiameter,Clump,Transect,Tallest Stem,,,Flowering Intensity,,,Senesced
3,4,12,28104, - Mx 1553#110,3,,3.78,4.25,4.49,4.17,350,16,159,185,188,,,y,y
3,4,11,28095, - Mx 1553#75,3,,4.65,5.02,4.22,4.63,370,10,100,118,,,,y,y
3,4,10,28086, - Mx 1553#117,3,,4.99,4.83,4.61,4.81,550,19,156,184,,,,y,y
3,4,9,28077, - Mx 1553#7,3,,4.41,4.32,4.52,4.42,290,13,155,177,188,,,y,y
3,4,8,28068, - Mx 1553#115,3,,5.03,4.75,4.96,4.91,310,10,133,164,,,,y,y
3,4,7,28059, - Mx 1553#103,3,,5.53,4.27,3.99,4.6,390,25,171,188,190,,,y,y
3,4,6,28052, - Mx 1553#43,3,,5.06,5.28,5.41,5.25,460,20,198,223,,,,y,y
3,4,5,28043, - Mx 1553#90,3,,4.47,4.29,4.9,4.55,390,10,66,67,,y,,,y
3,4,4,28034, - Mx 1553#25,3,,4.8,4.34,4.33,4.49,310,21,84,84,,y,,,y
3,4,3,28026, - Mx 1553#1,3,,5.47,5.39,5.39,5.42,420,17,127,129,,y,,,y
3,4,2,28017, - Mx 1553#45,3,,4.45,4.18,3.94,4.19,290,16,96,129,132,,,y,y
3,4,1,28009, - Mx 1553#86,3,,4.03,4.14,4.69,4.29,260,17,148,168,,,,y,y
3,5,1,28010, - Mx 1553#98,3,,4.45,4.39,4.11,4.32,290,19,100,100,,y,,,y
3,5,2,28018, - Mx 1553#94,3,,4.81,5.65,5.52,5.33,260,14,162,193,196,,,y,y
3,5,3,28027, - Mx 1553#59,3,,4.11,3.35,4.41,3.96,420,20,171,185,191,y,,,y
3,5,4,28035, - Mx 1553#22,3,,4.79,3.55,3.95,4.1,420,20,161,190,,,,y,y
3,5,5,28044, - Mx 1553#92,3,,4.81,5.17,4.88,4.95,530,10,156,183,195,,,y,y
3,5,6,aBR 15 fS B3-R5 C6, - Goliath,3,,7.82,7.1,7.79,7.57,330,11,189,213,,,,y,y
3,5,7,28060, - Mx 1553#81,3,,4.82,4.37,4.54,4.58,330,9,144,172,,,,y,y
3,5,8,28069, - Mx 1553#16,3,,5.19,4.29,4.25,4.58,220,17,155,179,185,,,y,y
3,5,9,28078, - Mx 1553#77,3,,4.84,4.96,5.49,5.1,370,24,180,197,198,,,y,y
3,5,10,28087, - Mx 1553#109,3,,4.86,4.98,4.49,4.78,250,16,167,188,,,,y,y
3,5,11,28096, - Mx 1553#44,3,,4.66,3.77,4.7,4.38,280,13,63,66,,y,,,y
3,5,12,28105, - Mx 1553#50,3,,4.41,3.65,4.22,4.09,370,20,97,97,,y,,,y
3,6,12,aBR 15 fS B3-R6 C12, - Goliath,3,,6.97,6.48,8.01,7.15,280,7,168,194,,,,y,y
3,6,11,28097, - Mx 1553#61,3,,3.81,3.92,4.23,3.99,380,15,130,152,160,,,y,y
3,6,10,28088, - Mx 1553#53,3,,4,5.33,4.81,4.71,400,14,178,201,,,,y,y
3,6,9,28079, - Mx 1553#63,3,,4.14,4.19,4.62,4.32,310,21,168,181,182,,,y,y
3,6,8,28070, - Mx 1553#26,3,,6,4.84,5.33,5.39,340,5,85,109,126,,y,,y
3,6,7,28061, - Mx 1553#74,3,,4.09,4.06,4.6,4.25,430,14,163,193,200,,,y,y
3,6,6,28053, - Mx 1553#18,3,,4.65,3.8,4.09,4.18,400,29,154,171,,,y,,y
3,6,5,28045, - Mx 1553#49,3,,4.77,4.44,4.8,4.67,510,16,187,206,,,,y,y
3,6,4,28036, - Mx 1553#15,3,,5.29,4.29,4.59,4.72,420,13,187,217,222,,,y,y
3,6,3,28028, - Mx 1553#114,3,,3.44,3.19,2.83,3.15,110,15,28,31,,y,,,y
3,6,2,28019, - Mx 1553#10,3,,5.46,4.96,4.54,4.99,350,16,180,195,,,,y,y
3,6,1,28011, - Mx 1553#120,3,,4.53,4.15,3.98,4.22,270,18,123,142,,,y,,y
3,7,1,28012, - Mx 1553#102,3,,3.81,5.33,3.99,4.38,450,18,146,175,181,,,y,y
3,7,2,28020, - Mx 1553#11,3,,4.93,4.44,4.29,4.55,490,17,163,192,193,,,y,y
3,7,3,28029, - Mx 1553#105,3,,5.9,4.88,4.36,5.05,390,17,200,244,,,,y,y
3,7,4,28037, - Mx 1553#112,3,,4.7,5.26,5.81,5.26,240,7,66,67,,y,,,y
3,7,5,28046, - Mx 1553#69,3,,5.25,5.46,4.7,5.14,310,26,175,195,202,,,y,y
3,7,6,28054, - Mx 1553#12,3,,3.78,3.86,3.77,3.8,260,26,160,189,191,,,y,y
3,7,7,28062, - Mx 1553#76,3,,4.54,3.94,3.72,4.07,300,17,160,184,,,,y,y
3,7,8,28071, - Mx 1553#11,3,,5.37,4.25,4.43,4.68,450,20,165,183,,,,y,y
3,7,9,28080, - Mx 1553#36,3,,5.38,4.91,5.29,5.19,390,21,195,218,,,,y,y
3,7,10,28089, - Mx 1553#104,3,,4.61,5.11,4.77,4.83,350,11,176,195,,,,y,y
3,7,11,28098, - Mx 1553#27,3,,4.75,3.83,4.31,4.3,390,13,80,82,,y,,,y
3,7,12,28106, - Mx 1553#89,3,,4.71,4.51,4.7,4.64,480,20,188,222,225,,,y,y
3,8,12,28107, - Mx 1553#19,3,,3.98,3.92,4.3,4.07,250,17,136,161,172,,,y,y
3,8,11,28099, - Mx 1553#88,3,,4.35,4.38,4.47,4.4,370,21,174,195,,,,y,y
3,8,10,28090, - Mx 1553#66,3,,4.94,5.59,4.59,5.04,330,9,78,85,,,y,,y
3,8,9,28081, - Mx 1553#40,3,,5.84,5.07,4.63,5.18,370,17,112,114,,y,,,y
3,8,8,28072, - Mx 1553#84,3,,5.68,5.3,4.34,5.11,370,9,174,193,202,,,y,y
3,8,7,28063, - Mx 1553#20,3,,4.01,4.27,4.73,4.34,230,13,99,102,,y,,,y
3,8,6,28055, - Mx 1553#118,3,,4.12,4.96,3.92,4.33,180,12,66,66,,y,,,y
3,8,5,28047, - Mx 1553#17,3,,4.61,4.68,4.27,4.52,300,14,145,182,192,,,y,y
3,8,4,28038, - Mx 1553#71,3,,4.54,4.55,3.96,4.35,310,22,149,166,,,,y,y
3,8,3,28030, - Mx 1553#97,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,2,28021, - Mx 1553#4,3,,5.52,4.07,4.81,4.8,330,26,127,146,156,,y,,y
3,8,1,28013, - Mx 1553#72,3,,4.55,5.32,4.32,4.73,460,28,155,170,,,y,,y
3,9,1,28014, - Mx 1553#6,3,,3.85,4.43,4.48,4.25,390,18,168,191,193,,,y,y
3,9,2,28022, - Mx 1553#100,3,,4.59,4.27,4.82,4.56,250,10,138,177,188,,,y,y
3,9,3,28031, - Mx 1553#99,3,,5.63,4.74,5.06,5.14,280,13,157,179,187,,,y,y
3,9,4,28039, - Mx 1553#60,3,,4.59,4.46,4.42,4.49,370,21,134,158,,,y,,y
3,9,5,28048, - Mx 1553#95,3,,3.96,4.17,4.02,4.05,460,26,166,187,191,,,y,y
3,9,6,aBR 15 fS B3-R9 C6,giganteus,3,,3.91,3.86,2.96,3.58,200,14,63,63,,y,,,y
3,9,7,28064, - Mx 1553#39,3,,4.46,4.76,4.02,4.41,330,15,165,182,184,,,y,y
3,9,8,28073, - Mx 1553#67,3,,4.54,3.3,4.51,4.12,260,17,131,145,146,,,y,y
3,9,9,28082, - Mx 1553#42,3,,4.17,5.17,4.6,4.65,260,13,145,175,,,,y,y
3,9,10,28091, - Mx 1553#35,3,,5.77,4.61,5.26,5.21,410,17,119,122,,y,,,y
3,9,11,28100, - Mx 1553#8,3,,4.71,3.91,4.4,4.34,380,18,142,161,165,y,,,y
3,9,12,28108, - Mx 1553#82,3,,4.17,4.47,4.02,4.22,510,18,167,195,214,,y,,y
